ProvinceID,Province_Name,Year,DSL (Day),R35mm (Day),MONTH,MIN,MAX,MEAN
75,Samut Songkhram,2010,14,9,5,18.31999969,469.769989,110.8925981
75,Samut Songkhram,2010,14,9,6,47.52999878,644.2299805,162.7458757
75,Samut Songkhram,2010,14,9,7,43.40999985,656.5,206.9511485
75,Samut Songkhram,2010,14,9,8,59.34999847,741.7700195,331.7772309
75,Samut Songkhram,2010,14,9,9,87.48000336,542.2800293,231.1072011
75,Samut Songkhram,2010,14,9,10,26.59000015,593.4199829,227.3115189
75,Samut Songkhram,2010,14,9,11,0.0,1112.839966,78.61632496
75,Samut Songkhram,2010,14,9,12,0.0,815.7999878,57.50109959
75,Samut Songkhram,2011,10,8,1,0.0,595.7700195,29.19022216
75,Samut Songkhram,2011,10,8,2,0.0,166.4799957,15.95471195
75,Samut Songkhram,2011,10,8,3,3.0,1543.52002,147.2008133
75,Samut Songkhram,2011,10,8,4,0.519999981,293.3999939,104.3890793
75,Samut Songkhram,2011,10,8,5,24.76000023,546.1900024,213.7220575
75,Samut Songkhram,2011,10,8,6,37.52000046,805.9000244,192.7097534
75,Samut Songkhram,2011,10,8,7,56.09999847,895.7999878,243.6257913
75,Samut Songkhram,2011,10,8,8,65.94000244,772.789978,290.017601
75,Samut Songkhram,2011,10,8,9,18.70999908,1446.699951,312.4038039
75,Samut Songkhram,2011,10,8,10,29.02000046,626.7999878,179.9338481
75,Samut Songkhram,2011,10,8,11,0.0,732.1799927,51.7620701
75,Samut Songkhram,2011,10,8,12,0.0,901.9699707,42.92636649
75,Samut Songkhram,2012,12,7,1,0.0,1066.920044,68.52036736
75,Samut Songkhram,2012,12,7,2,0.0,133.0599976,17.2466383
75,Samut Songkhram,2012,12,7,3,0.0,333.7600098,46.41868299
75,Samut Songkhram,2012,12,7,4,0.610000014,401.2900085,98.23287285
75,Samut Songkhram,2012,12,7,5,32.04999924,782.710022,223.300348
75,Samut Songkhram,2012,12,7,6,12.40999985,863.210022,139.4820109
75,Samut Songkhram,2012,12,7,7,20.34000015,857.4000244,181.4263623
75,Samut Songkhram,2012,12,7,8,26.64999962,842.6799927,207.2911962
75,Samut Songkhram,2012,12,7,9,52.31999969,1311.0,272.2675058
75,Samut Songkhram,2012,12,7,10,8.210000038,312.5499878,98.31804747
75,Samut Songkhram,2012,12,7,11,2.00999999,669.1900024,82.07540363
75,Samut Songkhram,2012,12,7,12,0.0,1179.01001,44.90472917
75,Samut Songkhram,2013,10,8,1,0.0,312.1000061,28.88822667
75,Samut Songkhram,2013,10,8,2,0.0,344.6000061,22.67106485
75,Samut Songkhram,2013,10,8,3,0.01,136.6699982,30.35477532
75,Samut Songkhram,2013,10,8,4,1.100000024,354.5499878,73.2822841
75,Samut Songkhram,2013,10,8,5,13.21000004,558.5200195,151.4217261
75,Samut Songkhram,2013,10,8,6,39.75,949.6699829,185.1045139
75,Samut Songkhram,2013,10,8,7,37.54000092,1622.5,262.7221862
75,Samut Songkhram,2013,10,8,8,52.74000168,684.2999878,207.1616002
75,Samut Songkhram,2013,10,8,9,5.110000134,661.5900269,282.5769022
75,Samut Songkhram,2013,10,8,10,31.82999992,602.8499756,164.5611367
75,Samut Songkhram,2013,10,8,11,0.0,1050.73999,95.40188005
75,Samut Songkhram,2013,10,8,12,0.0,584.1400146,42.46739311
75,Samut Songkhram,2014,7,5,1,0.0,267.4200134,4.484315953
75,Samut Songkhram,2014,7,5,2,0.0,106.4800034,2.922729867
75,Samut Songkhram,2014,7,5,3,0.0,158.6000061,21.6003422
75,Samut Songkhram,2014,7,5,4,0.050000001,339.2099915,81.81030515
75,Samut Songkhram,2014,7,5,5,13.90999985,346.2600098,127.9557585
75,Samut Songkhram,2014,7,5,6,10.80000019,1060.099976,185.8317362
75,Samut Songkhram,2014,7,5,7,22.73999977,1451.030029,227.1230053
75,Samut Songkhram,2014,7,5,8,35.06000137,1077.300049,231.5316438
75,Samut Songkhram,2014,7,5,9,40.29999924,893.2999878,213.3757746
75,Samut Songkhram,2014,7,5,10,7.400000095,523.5,138.956563
75,Samut Songkhram,2014,7,5,11,0.0,707.0599976,84.47170441
75,Samut Songkhram,2014,7,5,12,0.0,823.5800171,52.92145059
75,Samut Songkhram,2015,15,7,1,0.0,104.1999969,23.43618264
75,Samut Songkhram,2015,15,7,2,0.0,103.75,19.2771313
75,Samut Songkhram,2015,15,7,3,0.0,187.2200012,38.14656506
75,Samut Songkhram,2015,15,7,4,7.400000095,244.2799988,68.09428276
75,Samut Songkhram,2015,15,7,5,8.520000458,342.7200012,94.95617414
75,Samut Songkhram,2015,15,7,6,14.89999962,859.2000122,119.7275111
75,Samut Songkhram,2015,15,7,7,29.31999969,833.9899902,205.729844
75,Samut Songkhram,2015,15,7,8,13.59000015,847.7000122,196.5288558
75,Samut Songkhram,2015,15,7,9,67.70999908,939.5900269,227.0490531
75,Samut Songkhram,2015,15,7,10,40.06999969,469.5400085,143.2686977
75,Samut Songkhram,2015,15,7,11,0.699999988,636.8699951,74.87404483
75,Samut Songkhram,2015,15,7,12,0.0,399.6499939,36.34857831
75,Samut Songkhram,2016,16,11,1,0.0,307.6700134,42.64652903
75,Samut Songkhram,2016,16,11,2,0.0,102.2399979,5.406480535
75,Samut Songkhram,2016,16,11,3,0.0,149.8000031,6.396437613
75,Samut Songkhram,2016,16,11,4,0.0,158.3399963,36.47077289
75,Samut Songkhram,2016,16,11,5,2.349999905,875.6799927,150.0637821
75,Samut Songkhram,2016,16,11,6,4.650000095,903.8499756,209.3637924
75,Samut Songkhram,2016,16,11,7,4.380000114,779.1599731,221.4755002
75,Samut Songkhram,2016,16,11,8,2.24000001,1005.340027,208.0893098
75,Samut Songkhram,2016,16,11,9,5.650000095,1124.400024,256.3610295
75,Samut Songkhram,2016,16,11,10,5.900000095,1156.5,188.4321472
75,Samut Songkhram,2016,16,11,11,1.74000001,403.8800049,74.6501546
75,Samut Songkhram,2016,16,11,12,0.0,1207.530029,72.65371915
75,Samut Songkhram,2017,12,9,1,0.0,1784.52002,108.704277
75,Samut Songkhram,2017,12,9,2,0.0,115.2900009,10.5933567
75,Samut Songkhram,2017,12,9,3,0.0,313.3299866,70.29428307
75,Samut Songkhram,2017,12,9,4,0.409999996,380.1499939,84.6569932
75,Samut Songkhram,2017,12,9,5,81.12000275,901.7399902,275.8206949
75,Samut Songkhram,2017,12,9,6,10.68000031,830.6599731,190.8765134
75,Samut Songkhram,2017,12,9,7,15.60000038,976.5999756,290.2428795
75,Samut Songkhram,2017,12,9,8,42.97000122,787.9000244,246.3787762
75,Samut Songkhram,2017,12,9,9,48.27999878,849.7800293,210.7344573
75,Samut Songkhram,2017,12,9,10,34.91999817,559.6400146,184.7879782
75,Samut Songkhram,2017,12,9,11,0.0,1352.77002,99.81015127
75,Samut Songkhram,2017,12,9,12,0.200000003,679.0499878,50.92453953
75,Samut Songkhram,2018,18,9,1,0.0,438.0899963,40.72593971
75,Samut Songkhram,2018,18,9,2,0.0,188.4400024,25.42925445
75,Samut Songkhram,2018,18,9,3,0.0,253.0,43.22718484
75,Samut Songkhram,2018,18,9,4,17.20999908,340.2099915,124.8929543
75,Samut Songkhram,2018,18,9,5,37.04000092,515.5300293,196.7909585
75,Samut Songkhram,2018,18,9,6,31.03000069,793.3099976,177.4580523
75,Samut Songkhram,2018,18,9,7,9.960000038,1222.800049,228.2938265
75,Samut Songkhram,2018,18,9,8,7.5,984.0499878,193.12315
75,Samut Songkhram,2018,18,9,9,42.66999817,807.039978,194.815761
75,Samut Songkhram,2018,18,9,10,0.01,456.3299866,135.5297392
75,Samut Songkhram,2018,18,9,11,0.0,394.75,30.72357689
75,Samut Songkhram,2018,18,9,12,0.0,704.1400146,61.3520511
75,Samut Songkhram,2019,12,6,1,0.0,418.0299988,31.33252439
75,Samut Songkhram,2019,12,6,2,0.0,94.48000336,13.60452459
75,Samut Songkhram,2019,12,6,3,0.0,195.4900055,20.00054834
75,Samut Songkhram,2019,12,6,4,0.0,278.7999878,50.37231981
75,Samut Songkhram,2019,12,6,5,25.93000031,558.1799927,160.4642589
75,Samut Songkhram,2019,12,6,6,25.06999969,1011.299988,134.5358414
75,Samut Songkhram,2019,12,6,7,18.95000076,856.7999878,145.3472172
75,Samut Songkhram,2019,12,6,8,20.43000031,1260.199951,305.9882575
75,Samut Songkhram,2019,12,6,9,57.11000061,1155.099976,210.54012
75,Samut Songkhram,2019,12,6,10,4.71999979,503.7600098,91.54318391
75,Samut Songkhram,2019,12,6,11,0.0,498.3999939,40.59047161
75,Samut Songkhram,2019,12,6,12,0.0,231.6399994,13.73433292
75,Samut Songkhram,2020,12,8,1,0.0,88.80000305,3.863280261
75,Samut Songkhram,2020,12,8,2,0.0,152.3000031,6.943919541
75,Samut Songkhram,2020,12,8,3,0.0,275.8800049,32.32654939
75,Samut Songkhram,2020,12,8,4,0.059999999,343.0400085,73.84355218
75,Samut Songkhram,2020,12,8,5,0.029999999,433.75,121.5272309
75,Samut Songkhram,2020,12,8,6,0.119999997,647.0700073,167.1346774
75,Samut Songkhram,2020,12,8,7,0.109999999,540.2800293,158.975338
75,Samut Songkhram,2020,12,8,8,0.07,808.3200073,239.3534519
75,Samut Songkhram,2020,12,8,9,0.100000001,853.2199707,239.6221963
75,Samut Songkhram,2020,12,8,10,9.869999886,905.5800171,204.94212
75,Samut Songkhram,2020,12,8,11,0.100000001,758.710022,56.37343534
75,Samut Songkhram,2020,12,8,12,0.0,936.0499878,50.77755972
75,Samut Songkhram,2021,13,9,1,0.0,315.980011,11.68113126
75,Samut Songkhram,2021,13,9,2,0.0,114.2200012,17.3754111
75,Samut Songkhram,2021,13,9,3,0.0,200.4199982,32.15856511
75,Samut Songkhram,2021,13,9,4,0.01,405.1499939,171.3842535
75,Samut Songkhram,2021,13,9,5,0.07,508.3200073,129.6250128
75,Samut Songkhram,2021,13,9,6,0.0,837.5999756,137.9505517
75,Samut Songkhram,2021,13,9,7,44.00999832,964.6900024,232.4567116
75,Samut Songkhram,2021,13,9,8,0.300000012,934.210022,200.9353305
75,Samut Songkhram,2021,13,9,9,0.600000024,1098.900024,317.186355
75,Samut Songkhram,2021,13,9,10,0.379999995,958.8099976,217.2433721
75,Samut Songkhram,2021,13,9,11,0.0,1083.459961,96.28473827
75,Samut Songkhram,2021,13,9,12,0.0,480.0499878,24.51952238
75,Samut Songkhram,2022,12,9,1,0.0,109.1900024,16.65728181
75,Samut Songkhram,2022,12,9,2,0.039999999,536.0800171,83.28711086
75,Samut Songkhram,2022,12,9,3,0.01,369.6199951,94.57385476
75,Samut Songkhram,2022,12,9,4,0.389999986,495.3200073,105.1774524
75,Samut Songkhram,2022,12,9,5,55.72000122,700.8800049,240.2999655
75,Samut Songkhram,2022,12,9,6,12.31000042,400.7999878,143.043701
75,Samut Songkhram,2022,12,9,7,49.72999954,1469.099976,249.4066377
75,Samut Songkhram,2022,12,9,8,0.639999986,1011.900024,271.0250147
75,Samut Songkhram,2022,12,9,9,1.019999981,907.2000122,331.181003
75,Samut Songkhram,2022,12,9,10,12.0,791.2000122,162.8843407
75,Samut Songkhram,2022,12,9,11,1.700000048,569.5,92.41492782
75,Samut Songkhram,2022,12,9,12,0.0,1289.099976,58.40002814
75,Samut Songkhram,2023,12,6,1,0.0,539.7000122,29.32675686
75,Samut Songkhram,2023,12,6,2,0.0,220.5,19.11330847
75,Samut Songkhram,2023,12,6,3,0.0,119.5999985,11.43561688
75,Samut Songkhram,2023,12,6,4,0.0,203.6999969,39.60113643
75,Samut Songkhram,2023,12,6,5,3.5,357.7000122,93.98266332
75,Samut Songkhram,2023,12,6,6,6.340000153,890.2600098,162.3295649
75,Samut Songkhram,2023,12,6,7,11.10000038,702.7999878,171.7052843
75,Samut Songkhram,2023,12,6,8,12.4,602.9,141.0999871
75,Samut Songkhram,2023,12,6,9,35.09000015,1192.699951,334.1407786
75,Samut Songkhram,2023,12,6,10,24.63,477.59,198.6397956
75,Samut Songkhram,2023,12,6,11,0.0,974.91,81.71136494
75,Samut Songkhram,2023,12,6,12,0.0,791.26,34.01544404
76,Phetchaburi,1979,20,3,1,0.0,59.49000168,5.510256814
76,Phetchaburi,1979,20,3,2,0.0,82.08999634,13.98861441
76,Phetchaburi,1979,20,3,3,0.0,87.5,5.046233726
76,Phetchaburi,1979,20,3,4,3.039999962,469.3999939,94.04552684
76,Phetchaburi,1979,20,3,5,28.20999908,595.2800293,187.9599242
76,Phetchaburi,1979,20,3,6,29.29000092,1171.400024,228.0667349
76,Phetchaburi,1979,20,3,7,19.85000038,1695.599976,155.8158601
76,Phetchaburi,1979,20,3,8,28.52000046,799.25,192.4600985
76,Phetchaburi,1979,20,3,9,68.51000214,806.710022,235.9805591
76,Phetchaburi,1979,20,3,10,0.0,402.480011,53.62318283
76,Phetchaburi,1979,20,3,11,0.0,1075.560059,51.18398659
76,Phetchaburi,1979,20,3,12,0.0,189.9900055,10.53747038
76,Phetchaburi,1980,10,4,1,0.0,39.79999924,1.345304761
76,Phetchaburi,1980,10,4,2,0.0,60.79000092,8.212346664
76,Phetchaburi,1980,10,4,3,0.600000024,146.1999969,30.5258966
